date,country,total,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential
2019/1/1,China,32267.17281,163.0419341,2521.742753,10417.41002,77.25181485,14816.08812,4348.889984
2019/1/2,China,31713.3053,166.1875071,2539.914472,10249.35612,78.09827264,14577.07465,4180.772553
2019/1/3,China,30632.94268,163.0775284,2529.741199,9936.428175,78.93591007,14132.01507,3871.680702
2019/1/4,China,31433.26205,164.2282089,2574.039463,10266.74101,78.92297872,14601.80018,3826.453191
2019/1/5,China,31437.8125,159.3852092,2514.699964,10260.94605,85.29399556,14593.55833,3909.222941
2019/1/6,China,31547.13809,164.5772158,2453.37547,10336.28055,81.98748123,14700.70231,3892.202543
2019/1/7,China,31278.17459,163.2714434,2533.849128,10222.31297,78.09730089,14538.61271,3820.128346
2019/1/8,China,31769.06229,161.4475328,2533.557428,10372.98198,80.87547019,14752.90065,3948.174698
2019/1/9,China,31863.21517,163.607825,2533.320868,10415.47837,80.76480408,14813.34084,3937.467272
2019/1/10,China,32219.78983,171.0499403,2534.356351,10620.23369,88.16580444,15104.55266,3789.597191
2019/1/11,China,32579.54857,134.222301,2565.789912,10807.60413,76.49497283,15371.03895,3700.893282
2019/1/12,China,31732.20381,162.3638059,2491.598345,10485.01791,86.46272583,14912.24297,3680.980776
2019/1/13,China,30846.50324,162.0836712,2433.0937,10146.97846,83.81058589,14431.46874,3672.878673
2019/1/14,China,30794.78607,168.1696714,2524.639932,10112.20869,80.53490866,14382.01767,3607.750103
2019/1/15,China,31617.66097,168.4575522,2521.262137,10257.08274,80.34128889,14588.06377,4082.794767
2019/1/16,China,31660.41905,134.973559,2512.353816,10276.39928,69.19114645,14615.53659,4121.15581
2019/1/17,China,31583.37197,168.6570671,2519.939114,10322.75897,84.09604148,14681.47134,3890.545477
2019/1/18,China,31138.8095,169.4319229,2578.877018,10239.69785,84.35117977,14563.33824,3587.464462
2019/1/19,China,30807.99489,170.4048795,2521.582249,10146.97846,87.90449833,14431.46874,3537.560559
2019/1/20,China,29998.70318,171.7876644,2260.583701,9837.913821,85.32493801,13991.90373,3736.51427
2019/1/21,China,30007.0299,174.9613272,2521.602543,9716.219619,82.54016042,13818.825,3775.421403
2019/1/22,China,29137.86439,174.32751,2540.530415,9430.334827,82.96827228,13412.22737,3580.444272
2019/1/23,China,29070.10323,176.5637337,2527.614851,9449.651367,84.22909917,13439.70018,3476.5731
2019/1/24,China,28123.415,176.5694517,2535.230872,9123.201841,85.33051862,12975.40964,3313.003195
